Accession Number,Reference Number ,Magazine,Date of Acquisition,Place of Acquisition,Volume,Issue,Release/Publication Date,Release/Publication Month ,Release/Publication Year,Newsstand Price,Size/Measurements,ISB,Primary Format,Image file name,Areas of Interest,Special Issue
,,Savoy,,,,,,February,2005,,,,print,Savoy_feb_2005.jpg,,
,,Today's Chicago Woman,,,,,,May,2005,,,,print,TCW_may_2005.jpg,,
,,Ebony,,,,,,February,2007,4.99,,,print,ebony_18_feb_2007.jpg,,"Black Love, Black History"
,,Today's Black Woman,,,,,,July,2007,5.99,,,print,tbw_mar_2007.jpg,,
,,Time,,,,,24,Septermber,2007,,,,print,time_24-sep_2007.jpg,,
,,Newsweek,,,,,25,February,2008,4.95,,,print,newsweek_25_feb_2008.jpg,,
,,National Review,,,,,21,April,2008,,,,print,nationalr_21_apr_2008.jpg,,
,,The Week,,,8,367,27,June,2008,,,,print,theweek_27_jun_2008.jpg,,
,,US Weekly,,,,,30,june,2008,,,,print,usweekly_30_jun_2008.jpg,,
,,The New Yorker,,,,,21,July,2008,4.50,,,print,Thenewyorker_21_july_2008.jpg,,
,,Upscale,,,,,,August,2008,3.99,,,print,upscale_aug_2008.jpg,,
,,OK Weekly,,,,,15,september,2008,3.49,,,print,okweekly_15_sep_2008.jpg,,
,,Ebony,,,,,,September,2008,3.99,,,print,ebony_sep_2008.jpg,,
,,Essence,,,,,,September,2008,3.99,,,print,essence_sep_2008.jpg,,collector's edition
,,The Washington Post Magazine,s,,,,5,october,2008,,,,print,thewashpost_5_oct_2008.jpg,,
,,More,,,,,,October,2008,4.00,,,print,more_oct_2008.jpg,,
,,Jet,,,,,17,November,2008,1.99,,,print,jet_17_nov_2008.jpg,,special collector's edition
,,US Weekly ,,,,,17,november,2008,3.99,,,print,usweekly_17_nov_2008.jpg,,
,,New York - Gift Guide,,,,,24,November,2008,,,,print,newyork_24_nov_2008.jpg,,
,,OK Weekly ,,,,47-48,24,November,2008,3.49,,,print,okweekly_24_nov_2008.jpg,,
,,People,,,,,24,November,2008,3.99,,,print,people_24_nov_2008.jpg,,
,,Pink,,,,,,November,2008,4.95,,,print,pink_nov_2009.jpg,,
,,Newsweek,,,,,1,December,2008,4.95,,,print,newsweek_01_dec_2008.jpg,,
,,People,,,,,4,August ,2008,,,,print,people_04_aug_2008.jpg,,
,,Grace Today,,,,84,,Fall,2008,4.99,,,print,gracetoday_fall_2008.jpg,,Comemorative issue
,,The Crisis,,,,,,Fall,2008,3.00,,,print,thecris_fall_2008.jpg,,
,,Sister 2 Sister,,,,,,November ,2008,3.99,,,print,Sister2si_nov_2008.jpg,,20th Anniversary Issue
,,Ladies' Home Journal,,,,,,September ,2008,2.49,,,print,ladieshome_aug_2008.jpg,,
,,Radar,,,,,,September ,2008,3.99,,,print,radar_sep_2008.jpg,,
,,Savoy Professional,,,,,,September/October,2008,3.95,,,print,Savoy_sep_2008.jpg,,
,,Jewel,,,,12,,,2008,4.99,,,print,jewel_2008.jpg,,the presidential edition
,,Jet,,,,,5,January,2009,1.99,,,print,jet_05_jan_2009.jpg,,
,,USA Weekend Magazine,,,,,14,January,2009,,,,print,usaweek_14_jan_2009.jpg,,
,,parade,,,,,18,january,2009,,,,print,parade_18_jan_2009.jpg,,
,,TV Guide,,,,,25,January,2009,,,,print,tvguide_25_jan_2009.jpg,,
,,Life & Style Weekly,,,,,26,January,2009,,,,print,life&style_26_jan_2009.jpg,,
,,The Week,,,,,30,January,2009,,,,print,theweek_30_jan_2009.jpg,,
,,Essence,,,,,,January,2009,3.99,,,print,essence_jan_2009.jpg,,special collector's edition: 56 page tribute
,,Washingtonian,,,,,,january,2009,4.95,,,print,washingtonian_jan_2009.jpg,,Special Inauguration Issue
,,Newsweek,,,,,2,February,2009,4.95,,,print,newsweek_02_feb_2009.jpg,,
,,OK Weekly,,,,5,2,February,2009,,,,print,okweekly_02_feb_2009.jpg,,
,,People,,,,,2,February,2009,4.49,,,print,people_02_feb_2009.jpg,,Double Issue
,,Time,,,,,2,February,2009,,,,print,time_2_feb_2009.jpg,,Commemorative Issue
,,US Weekly,,,,,2,February,2009,3.99,,,print,usweekly_2_feb_2009.jpg,,
,,Chicago,,,,,,February,2009,,,,print,chicago_feb_2009.jpg,,
,,Ebony,,,,,,February,2009,4.99,,,print,ebony_feb_2009.jpg,,Special Inauguration Preview Issue
